"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
3.1.1,geo,,2.0x,Percentages are missing for one or more recipient countries.,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[(recipient-country and not(recipient-region))],count($group[not(@percentage)]) > 0
3.1.2,geo,,2.0x,"Percentages for recipient countries, {$verb} add up to 100%.",{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[(recipient-country and not(recipient-region))],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
3.1.4,geo,,2.0x,"For a single recipient country, the percentage must either be omitted, or set to 100.",{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[(recipient-country and not(recipient-region))],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
3.4.1,geo,,2.0x,Percentages are missing for one or more recipient countries or regions.,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[recipient-region],count($group[not(@percentage)]) > 0
3.4.2,geo,,2.0x,"Percentages for recipient countries or regions, {$verb} add up to 100%.",{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[recipient-region],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
3.4.4,geo,,2.0x,"For a single recipient country or region, the percentage must either be omitted, or set to 100.",{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[recipient-region],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
3.6.2,financial,Error,iati,"If the activity has recipient-country or recipient-region information, none of the transactions should have a recipient-country or recipient-region.",https://drive.google.com/file/d/1E3hztk6gWTW5DypLELeSwW5X-Ahg0yjm/view,iati-activity[recipient-country or recipient-region],transaction/recipient-country or transaction/recipient-region
3.7.1,geo,Warning,iati,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,iati-activity[not(recipient-country or recipient-region)],not(transaction[recipient-country or recipient-region])
3.7.2,geo,Error,iati,"If transactions have a recipient-country or recipient-region, they must be used for all transactions.",https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,iati-activity[not(recipient-country or recipient-region)],transaction[not(recipient-country or recipient-region)]
4.1.1,information,Error,iati,"The activity should specify a default language, or the language must be specified for each narrative element.",{me:iati-url('codelists/Language/')},iati-activity,not(./@xml:lang) and descendant::narrative[not(@xml:lang)]
